"Sample","Experiment","Condition","Cluster","Count","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"Unstained","Test","test","V7_10-B3_08-R7_04",1320,267.783096313477,229.819549560547,299.358032226562,324.280792236328,572.101837158203,543.365539550781,871.971618652344,524.452606201172,437.085357666016,430.244964599609,180.034774780273,143.560211181641,133.6513671875,131.308029174805,84.1163597106934,64.2194023132324,331.848526000977,364.074310302734,601.991271972656,262.1943359375,258.206176757812,188.480628967285,135.586669921875,98.7499961853027,87.6997184753418,69.3177871704102,42.6688594818115,39.821813583374,52.3164100646973,55.3971462249756,30.5784149169922,40.9019565582275,38.6517429351807,41.5999984741211,46.4599914550781,33.2271728515625,250.12890625,23.0166072845459
"Unstained","Test","test","V7_10-B3_10-R7_00",1109,268.140533447266,211.884201049805,297.058319091797,322.658416748047,571.8037109375,557.495300292969,860.348815917969,536.94189453125,432.771575927734,444.506683349609,172.463668823242,147.959533691406,102.078887939453,112.989791870117,71.7453460693359,55.6872100830078,403.297729492188,400.971466064453,757.137512207031,285.465148925781,274.112487792969,190.323425292969,155.200775146484,107.399078369141,88.1813812255859,62.8332214355469,31.5211391448975,31.9122352600098,54.5076713562012,49.9808387756348,38.0444831848145,24.6435890197754,22.7665843963623,41.0149993896484,18.3033447265625,36.9971771240234,0,36.1249961853027
"Unstained","Test","test","V7_10-B3_10-R7_02",985,272.234771728516,224.843078613281,300.212219238281,335.053375244141,609.566223144531,608.508361816406,929.308776855469,588.910278320312,486.461547851562,456.57177734375,203.665771484375,142.977951049805,117.390724182129,133.569137573242,90.4813919067383,62.7865142822266,459.993957519531,464.821868896484,824.818786621094,321.647766113281,286.163848876953,218.333831787109,159.741424560547,110.708297729492,91.5159683227539,81.1688995361328,40.6769485473633,47.3205032348633,55.3293952941895,54.9172210693359,30.5784149169922,34.7570610046387,30.3554458618164,48.1649971008301,30.2615299224854,29.84055519104,81.2972717285156,28.3707370758057
"Unstained","Test","test","V7_10-B3_02-R7_04",926,271.90983581543,236.198791503906,325.246322631836,317.434341430664,525.693725585938,493.480194091797,858.179656982422,460.870788574219,388.406021118164,399.131469726562,164.237075805664,138.708015441895,105.285213470459,122.722381591797,70.472339630127,62.7865142822266,233.881309509277,250.803428649902,105.6496925354,170.331985473633,179.947143554688,125.678325653076,118.354545593262,61.6341361999512,74.843017578125,43.9758033752441,20.4083652496338,44.0676460266113,33.8961029052734,43.5704040527344,32.0716285705566,36.6773433685303,34.5035934448242,62.8874969482422,31.4207429885864,22.4283409118652,239.190948486328,18.954852104187
"Unstained","Test","test","V5_10-B3_06-R7_00",842,265.99592590332,224.742881774902,310.035308837891,322.236587524414,790.693695068359,481.24104309082,607.365966796875,464.276947021484,379.380279541016,381.591186523438,161.942802429199,126.642227172852,112.973846435547,111.941162109375,66.359546661377,59.4322566986084,245.75838470459,258.018371582031,385.634399414062,187.350379943848,192.896751403809,139.572959899902,112.436820983887,88.4839057922363,71.434326171875,61.9015331268311,41.8301582336426,32.220401763916,28.7945680618286,40.6908493041992,31.3574829101562,29.4122838973999,21.7697420120239,40.9499988555908,40.8164596557617,36.2303981781006,0,9.38511323928833
"Unstained","Test","test","V5_10-B3_04-R7_00",793,264.436218261719,253.766738891602,311.382293701172,325.189300537109,808.713684082031,491.954437255859,626.014343261719,449.354675292969,385.718200683594,386.738525390625,154.240600585938,125.251266479492,115.427665710449,116.594451904297,81.4724197387695,54.4497146606445,257.336669921875,265.121154785156,241.86750793457,184.834625244141,198.361038208008,128.553070068359,105.328102111816,73.7052536010742,63.2831077575684,55.6033020019531,11.1127738952637,37.8700981140137,39.7851219177246,51.6263008117676,44.471794128418,36.6133346557617,26.8182640075684,32.2399978637695,33.2510757446289,28.1152992248535,0,31.1401138305664
"Unstained","Test","test","V7_10-B3_06-R7_06",747,265.281066894531,237.868743896484,313.747711181641,308.316589355469,525.561218261719,501.705963134766,834.31884765625,479.328979492188,400.252319335938,399.52490234375,172.135925292969,130.685729980469,108.753280639648,118.232940673828,94.6594619750977,74.9009246826172,254.946319580078,302.504302978516,411.219390869141,214.357849121094,219.769058227539,150.813980102539,133.093032836914,88.4462966918945,82.4755249023438,64.3984603881836,35.8544235229492,43.0746688842773,56.2880744934082,61.0191345214844,35.4475898742676,39.3657341003418,41.2242393493652,49.9199981689453,35.3864669799805,26.5178394317627,394.811004638672,36.1249961853027
"Unstained","Test","test","V5_10-B3_06-R7_02",673,269.180328369141,238.202743530273,332.342590332031,337.9736328125,810.369934082031,509.998077392578,640.583312988281,472.516632080078,388.505584716797,396.902038574219,155.486068725586,126.415794372559,116.278327941895,98.7022171020508,75.4011611938477,62.9819068908691,268.541442871094,277.009002685547,400.286254882812,206.514587402344,195.217193603516,137.029907226562,128.403518676758,85.3627166748047,84.5503845214844,59.8518104553223,39.139331817627,39.9930152893066,49.4403762817383,52.7918357849121,33.4999198913574,41.6700706481934,25.4677047729492,42.8999977111816,24.7095165252686,27.0290260314941,78.9622039794922,53.4182205200195
"Unstained","Test","test","V5_10-B3_04-R7_02",632,280.715698242188,252.564376831055,343.282699584961,348.291961669922,829.814331054688,498.223281860352,652.400421142578,474.787414550781,381.371246337891,394.574279785156,169.448348999023,135.796699523926,125.144794464111,113.383029937744,91.8523216247559,72.2305450439453,259.540283203125,269.270690917969,254.102203369141,210.325218200684,202.028839111328,145.248756408691,121.145927429199,100.818252563477,81.3639945983887,75.3178787231445,42.3194007873535,28.3169727325439,46.9409675598145,49.3295135498047,47.7828330993652,23.0753612518311,27.8794174194336,46.832498550415,25.2586164474487,28.3708934783936,81.6966896057129,38.1251010894775
"Unstained","Test","test","V7_10-B3_04-R7_06",613,242.730209350586,229.385360717773,299.160919189453,328.888336181641,514.232482910156,473.645477294922,823.246398925781,481.989013671875,370.254974365234,400.836303710938,167.744033813477,134.567474365234,100.312141418457,139.074447631836,86.1074752807617,49.6951370239258,240.454788208008,274.616485595703,251.09001159668,197.413436889648,181.369354248047,146.759841918945,110.761993408203,85.3627166748047,67.7292251586914,42.7832374572754,47.386547088623,34.7199630737305,41.017707824707,56.0827522277832,29.3448905944824,29.1882514953613,24.5030174255371,50.2449989318848,27.6380519866943,12.8435802459717,393.704925537109,41.1714172363281
